,xLoc,yLoc,xVel,yVel,xVelAdj,yVelAdj,xAccel,yAccel,nextXSuccess,nextYSuccess,landingTypeSuccess,nextXFail,nextYFail,landingTypeFail,nextXVelSuccess,nextYVelSuccess,nextXVelFail,nextYVelFail,currentStateValueMap,landingTypeCurrent,successValueMap,failValueMap,QValue,timesVisited,learningRate
57,32,2,-5,1,-5,1,0,0,32,2,#,32,2,#,0,0,0,0,490,.,544,544,-0.0240393695030032,0.0,1.0
58,32,2,-5,1,-5,2,-1,1,32,2,#,32,2,#,0,0,0,0,490,.,544,544,-0.0557999239795852,0.0,1.0
59,32,2,-5,1,-5,2,0,1,32,2,#,32,2,#,0,0,0,0,490,.,544,544,-0.0599074438092047,0.0,1.0
60,32,2,-5,1,-4,0,1,-1,32,2,#,32,2,#,0,0,0,0,490,.,544,544,-0.0040834211128016,0.0,1.0
61,32,2,-5,1,-4,1,1,0,32,2,#,32,2,#,0,0,0,0,490,.,544,544,-0.0269257870381269,0.0,1.0
62,32,2,-5,1,-4,2,1,1,32,2,#,32,2,#,0,0,0,0,490,.,544,544,-0.0687654063576352,0.0,1.0
63,32,2,-5,2,-5,1,-1,-1,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.0698080854637517,0.0,1.0
64,32,2,-5,2,-5,1,0,-1,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.0825272625601778,0.0,1.0
65,32,2,-5,2,-5,2,-1,0,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.0148730388034429,0.0,1.0
66,32,2,-5,2,-5,2,0,0,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.0672927682149316,0.0,1.0
67,32,2,-5,2,-5,3,-1,1,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.009079556369943,0.0,1.0
68,32,2,-5,2,-5,3,0,1,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.0793368129394856,0.0,1.0
69,32,2,-5,2,-4,1,1,-1,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.0547021810044065,0.0,1.0
70,32,2,-5,2,-4,2,1,0,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.0026683162529722,0.0,1.0
71,32,2,-5,2,-4,3,1,1,32,2,#,32,2,#,0,0,0,0,491,.,544,544,-0.0301478453885892,0.0,1.0
72,32,2,-5,3,-5,2,-1,-1,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.0083017530755541,0.0,1.0
73,32,2,-5,3,-5,2,0,-1,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.093921306727299,0.0,1.0
74,32,2,-5,3,-5,3,-1,0,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.0154886706225504,0.0,1.0
75,32,2,-5,3,-5,3,0,0,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.0107610647081022,0.0,1.0
76,32,2,-5,3,-5,4,-1,1,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.0465688941572026,0.0,1.0
77,32,2,-5,3,-5,4,0,1,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.0725149913898714,0.0,1.0
78,32,2,-5,3,-4,2,1,-1,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.0379920199604445,0.0,1.0
79,32,2,-5,3,-4,3,1,0,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.0030285952686194,0.0,1.0
80,32,2,-5,3,-4,4,1,1,32,2,#,32,2,#,0,0,0,0,492,.,544,544,-0.0980656073970416,0.0,1.0
81,32,2,-5,4,-5,3,-1,-1,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.0703754125297249,0.0,1.0
82,32,2,-5,4,-5,3,0,-1,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.0669916381374605,0.0,1.0
83,32,2,-5,4,-5,4,-1,0,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.0650056093679226,0.0,1.0
84,32,2,-5,4,-5,4,0,0,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.0838562727503979,0.0,1.0
85,32,2,-5,4,-5,5,-1,1,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.0308970371893716,0.0,1.0
86,32,2,-5,4,-5,5,0,1,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.093832087587739,0.0,1.0
87,32,2,-5,4,-4,3,1,-1,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.0950402270726133,0.0,1.0
88,32,2,-5,4,-4,4,1,0,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.0377183554645227,0.0,1.0
89,32,2,-5,4,-4,5,1,1,32,2,#,32,2,#,0,0,0,0,493,.,544,544,-0.0150242011016811,0.0,1.0
90,32,2,-5,5,-5,4,-1,-1,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.0772971361372107,0.0,1.0
91,32,2,-5,5,-5,4,0,-1,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.0105273249518199,0.0,1.0
92,32,2,-5,5,-5,5,-1,0,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.0475419879099015,0.0,1.0
93,32,2,-5,5,-5,5,-1,1,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.089074233783426,0.0,1.0
94,32,2,-5,5,-5,5,0,0,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.0087821204861413,0.0,1.0
95,32,2,-5,5,-5,5,0,1,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.0992266340137516,0.0,1.0
96,32,2,-5,5,-4,4,1,-1,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.0864118647795974,0.0,1.0
97,32,2,-5,5,-4,5,1,0,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.0677123675442699,0.0,1.0
98,32,2,-5,5,-4,5,1,1,32,2,#,32,2,#,0,0,0,0,494,.,544,544,-0.055470496628192,0.0,1.0
99,32,2,-4,-5,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.0185791562926215,0.0,1.0
100,32,2,-4,-5,-5,-5,-1,0,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.0101741397450495,0.0,1.0
101,32,2,-4,-5,-5,-4,-1,1,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.0873726814882197,0.0,1.0
102,32,2,-4,-5,-4,-5,0,-1,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.037037351639122,0.0,1.0
103,32,2,-4,-5,-4,-5,0,0,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.0605206441386297,0.0,1.0
104,32,2,-4,-5,-4,-4,0,1,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.0957126200488096,0.0,1.0
105,32,2,-4,-5,-3,-5,1,-1,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.0474198090555538,0.0,1.0
106,32,2,-4,-5,-3,-5,1,0,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.0024245110612849,0.0,1.0
107,32,2,-4,-5,-3,-4,1,1,32,2,#,32,2,#,0,0,0,0,495,.,544,544,-0.034749551361153,0.0,1.0
108,32,2,-4,-4,-5,-5,-1,-1,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.0102752283726808,0.0,1.0
109,32,2,-4,-4,-5,-4,-1,0,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.0002363138497862,0.0,1.0
110,32,2,-4,-4,-5,-3,-1,1,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.036838323817489,0.0,1.0
111,32,2,-4,-4,-4,-5,0,-1,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.0212071300794316,0.0,1.0
112,32,2,-4,-4,-4,-4,0,0,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.0231243254345748,0.0,1.0
113,32,2,-4,-4,-4,-3,0,1,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.0323655019364536,0.0,1.0
114,32,2,-4,-4,-3,-5,1,-1,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.0605260143421199,0.0,1.0
115,32,2,-4,-4,-3,-4,1,0,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.0236647084059689,0.0,1.0
116,32,2,-4,-4,-3,-3,1,1,32,2,#,32,2,#,0,0,0,0,496,.,544,544,-0.0261676800418129,0.0,1.0
117,32,2,-4,-3,-5,-4,-1,-1,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.0513535493374819,0.0,1.0
